"p","ell_0_ERM","cs_ERM","Oracle","ERM"
10,1.54996783889483,1.55454106065957,1.54889054646587,1.55541019810022
100,1.55128583487109,1.67145720448445,1.5494415832904,1.68109021909685
200,1.55111855386378,1.82329629004661,1.5496185087931,1.84363746257045
300,1.55111114579527,1.99878862277263,1.54921989958974,2.03214356042065
400,1.55042223057583,2.20876838803694,1.54858146824614,2.25766198301046
500,1.55100925603185,2.48849269859683,1.54879618074366,2.55598056247386
600,1.5513265163992,2.85152768663725,1.54968674097995,2.94159709439362
700,1.55000415693258,3.35629129953783,1.54851505067366,3.4780153945341
800,1.55057675112479,4.20759903393837,1.54904635026516,4.37871825929351
900,1.55153181716753,5.96138555986666,1.54898414104793,6.2406274388325
