"p","linear_SQR","Expand_SQR","Bin","Knn"
5,1.95793785205976,1.67710559796693,2.01867341319174,1.62987728317809
6,1.95781593990203,1.68150224686469,2.29477684835878,1.73089112070551
7,1.95816616641088,1.68624352590342,2.64886764605126,1.8136503934004
8,1.9600659945718,1.68665676721853,2.78558597307615,1.88197801432402
9,1.95860513729315,1.68666004851018,2.81547187809907,1.94553369100847
10,1.95782583743286,1.69016737062992,2.82127372095568,1.99156143641584
15,1.96124879153127,1.71578470921019,2.82378110126211,2.17184322405279
20,1.96012145415595,1.74182721037018,2.82089364843307,2.26934411593566
25,1.9596041086849,1.75424278273307,2.82084035652561,2.33701038345174
30,1.95936043186164,1.78553820415093,2.82138394127306,2.38434380620049
